hhid,h10q1,h10q2,h10q3,h10q4,h10q5a,h10q5b,h10q6,h10q7a,h10q7b,h10q7c,h10q7d,h10q9,h10q10,h10q11,h10q12,hh
H2171101,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H21711-05-01
H2200101,No,,,,,,No,,,,,Charcoal,No,4.0,In an outdoor space,H22001-05-01
H2200201,Yes,24.0,Bill from power company,31.5,9000.0,30.0,No,,,,,Charcoal,No,1.0,In a separate kitchen,H22002-05-01
H2200301,Yes,24.0,Bill from power company,45.0,32000.0,30.0,No,,,,,Charcoal,No,8.0,In a separate kitchen,H22003-05-01
H2200401,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H22004-05-01
H2200403,Yes,12.0,Pay fee to neighbor,,20000.0,30.0,No,,,,,Charcoal,No,5.0, In a room in the dwelling not just devoted to cooking,H22004-05-03
H2200404,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H22004-05-04
H2200405,No,,,,,,No,,,,,Charcoal,No,4.0,In an outdoor space,H22004-05-05
H2200406,No,,,,,,No,,,,,Charcoal,No,4.0,In an outdoor space,H22004-05-06
H2200601,No,,,,,,No,,,,,Charcoal,No,10.0, In a room in the dwelling not just devoted to cooking,H22006-05-01
H2201401,No,,,,,,No,,,,,Charcoal,No,10.0,In an outdoor space,H22014-05-01
H2210101,No,,,,,,No,,,,,Open fire,No,3.0,In a separate kitchen,H22101-05-01
H2210102,No,,,,,,No,,,,,Open fire,No,8.0,In a separate kitchen,H22101-05-02
H2210103,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H22101-05-03
H2210202,No,,,,,,No,,,,,Open fire,No,10.0,In a separate kitchen,H22102-05-02
H2210301,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H22103-05-01
H2210601,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H22106-05-01
H2210901,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H22109-05-01
H2211001,No,,,,,,No,,,,,Open fire,No,5.0,In an outdoor space,H22110-05-01
H2211002,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H22110-05-02
H2211003,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H22110-05-03
H2211004,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H22110-05-04
H2211005,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H22110-05-05
H2211006,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H22110-05-06
H2211007,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H22110-05-07
H2211101,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H22111-05-01
H2230101,No,,,,,,No,,,,,Charcoal,No,7.0, In a room in the dwelling not just devoted to cooking,H22301-05-01
H2230201,No,,,,,,No,,,,,Open fire,No,10.0,In a separate kitchen,H22302-05-01
H2230301,No,,,,,,No,,,,,Open fire,No,8.0,In a separate kitchen,H22303-05-01
H2230302,No,,,,,,No,,,,,Open fire,No,10.0,In a separate kitchen,H22303-05-02
H2230304,No,,,,,,No,,,,,Open fire,No,8.0,In a separate kitchen,H22303-05-04
H2230501,No,,,,,,No,,,,,Open fire,No,8.0,In an outdoor space,H22305-05-01
H2230601,No,,,,,,No,,,,,Open fire,No,3.0,In a separate kitchen,H22306-05-01
H2230701,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H22307-05-01
H2230702,No,,,,,,No,,,,,Open fire,No,7.0,In a separate kitchen,H22307-05-02
H2230801,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H22308-05-01
H2230901,No,,,,,,No,,,,,Open fire,No,8.0,In a separate kitchen,H22309-05-01
H2230902,No,,,,,,No,,,,,Open fire,No,7.0,In a separate kitchen,H22309-05-02
H2230903,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H22309-05-03
H2231001,No,,,,,,No,,,,,Open fire,No,10.0,In a separate kitchen,H22310-05-01
H2231002,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H22310-05-02
H2231003,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H22310-05-03
H2240101,No,,,,,,No,,,,,Open fire,No,5.0, In a room in the dwelling not just devoted to cooking,H22401-05-01
H2240102,No,,,,,,No,,,,,Open fire,No,9.0,In a separate kitchen,H22401-05-02
H2240103,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H22401-05-03
H2240402,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H22404-05-02
H2240601,No,,,,,,No,,,,,Open fire,No,10.0,In a separate kitchen,H22406-05-01
H2240701,No,,,,,,No,,,,,Charcoal,No,5.0,In a separate kitchen,H22407-05-01
H2240702,No,,,,,,No,,,,,Charcoal,No,5.0,In a separate kitchen,H22407-05-02
H2240801,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H22408-05-01
H2240901,No,,,,,,No,,,,,Charcoal,No,4.0,In an outdoor space,H22409-05-01
H2241001,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H22410-05-01
H2250101,No,,,,,,No,,,,,Open fire,No,6.0,In an outdoor space,H22501-05-01
H2250201,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H22502-05-01
H2250202,No,,,,,,No,,,,,Open fire,No,8.0,In a separate kitchen,H22502-05-02
H2250301,No,,,,,,No,,,,,Open fire,No,9.0,In a separate kitchen,H22503-05-01
H2250302,No,,,,,,No,,,,,Open fire,No,8.0,In a separate kitchen,H22503-05-02
H2250303,No,,,,,,No,,,,,Open fire,No,4.0,In an outdoor space,H22503-05-03
H2250401,No,,,,,,No,,,,,Open fire,No,7.0,In a separate kitchen,H22504-05-01
H2250501,No,,,,,,No,,,,,Open fire,Yes,9.0,In a separate kitchen,H22505-05-01
H2250601,No,,,,,,No,,,,,Open fire,No,9.0,In a separate kitchen,H22506-05-01
H2250701,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H22507-05-01
H2250901,No,,,,,,No,,,,,Open fire,Yes,10.0,In a separate kitchen,H22509-05-01
H2251001,No,,,,,,No,,,,,Open fire,No,10.0,In a separate kitchen,H22510-05-01
H2280201,No,,,,,,No,,,,,Open fire,No,8.0,In a separate kitchen,H22802-05-01
H2280301,No,,,,,,No,,,,,Open fire,No,8.0,In a separate kitchen,H22803-05-01
H2280501,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H22805-05-01
H2280502,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H22805-05-02
H2280601,No,,,,,,No,,,,,Open fire,No,7.0,In a separate kitchen,H22806-05-01
H2280701,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H22807-05-01
H2310101,No,,,,,,No,,,,,Open fire,No,8.0,In a separate kitchen,H23101-05-01
H2310201,No,,,,,,No,,,,,Open fire,No,0.0,In a separate kitchen,H23102-05-01
H2310301,No,,,,,,No,,,,,Open fire,No,10.0,In a separate kitchen,H23103-05-01
H2310302,No,,,,,,No,,,,,Open fire,No,8.0,In a separate kitchen,H23103-05-02
H2310401,No,,,,,,No,,,,,Open fire,No,5.0,In an outdoor space,H23104-05-01
H2310402,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H23104-05-02
H2310403,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H23104-05-03
H2310501,No,,,,,,No,,,,,Open fire,No,8.0,In a separate kitchen,H23105-05-01
H2310601,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H23106-05-01
H2310701,No,,,,,,No,,,,,Open fire,No,10.0,In a separate kitchen,H23107-05-01
H2310801,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H23108-05-01
H2310901,No,,,,,,No,,,,,Open fire,No,10.0,In a separate kitchen,H23109-05-01
H2310902,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H23109-05-02
H2310903,No,,,,,,No,,,,,Charcoal,No,4.0,In a separate kitchen,H23109-05-03
H2310904,No,,,,,,No,,,,,Open fire,No,3.0,In a separate kitchen,H23109-05-04
H2311001,No,,,,,,No,,,,,Open fire,No,3.0,In a separate kitchen,H23110-05-01
H2330201,No,,,,,,No,,,,,Open fire,No,2.0,In an outdoor space,H23302-05-01
H2330301,No,,,,,,No,,,,,Open fire,No,6.0,In an outdoor space,H23303-05-01
H2330302,No,,,,,,No,,,,,Open fire,No,6.0,In an outdoor space,H23303-05-02
H2330401,No,,,,,,No,,,,,Open fire,No,4.0,In an outdoor space,H23304-05-01
H2330601,No,,,,,,No,,,,,Open fire,No,18.0, In a room in the dwelling not just devoted to cooking,H23306-05-01
H2330701,No,,,,,,No,,,,,Open fire,No,4.0,In an outdoor space,H23307-05-01
H2330801,No,,,,,,No,,,,,Open fire,No,4.0,In an outdoor space,H23308-05-01
H2331001,No,,,,,,No,,,,,Open fire,No,3.0,In a separate kitchen,H23310-05-01
H2331201,No,,,,,,No,,,,,Open fire,No,4.0,In an outdoor space,H23312-05-01
H2340101,No,,,,,,No,,,,,Open fire,No,3.0,In an outdoor space,H23401-05-01
H2340201,No,,,,,,No,,,,,Open fire,No,4.0,In an outdoor space,H23402-05-01
H2340401,No,,,,,,No,,,,,Open fire,No,3.0,In an outdoor space,H23404-05-01
H2340402,No,,,,,,No,,,,,Charcoal,No,6.0,In an outdoor space,H23404-05-02
H2340501,No,,,,,,No,,,,,Open fire,No,4.0,In an outdoor space,H23405-05-01
H2340601,No,,,,,,No,,,,,Open fire,No,2.0,In an outdoor space,H23406-05-01
H2340701,No,,,,,,No,,,,,Open fire,No,2.0,In an outdoor space,H23407-05-01
H2340702,No,,,,,,No,,,,,Open fire,No,3.0,In an outdoor space,H23407-05-02
H2340801,No,,,,,,No,,,,,Open fire,No,4.0,In an outdoor space,H23408-05-01
H2341101,No,,,,,,No,,,,,Open fire,Yes,6.0,In a separate kitchen,H23411-05-01
H2341201,No,,,,,,No,,,,,Open fire,No,3.0,In an outdoor space,H23412-05-01
H2350301,No,,,,,,No,,,,,Open fire,No,6.0,In an outdoor space,H23503-05-01
H2350302,No,,,,,,No,,,,,Open fire,No,7.0,In an outdoor space,H23503-05-02
H2350303,No,,,,,,No,,,,,Open fire,No,7.0,In a separate kitchen,H23503-05-03
H2350401,No,,,,,,No,,,,,Charcoal,No,6.0,In a separate kitchen,H23504-05-01
H2350501,No,,,,,,No,,,,,Open fire,No,6.0,In an outdoor space,H23505-05-01
H2350601,No,,,,,,No,,,,,Charcoal,No,6.0,In an outdoor space,H23506-05-01
H2350602,No,,,,,,No,,,,,Charcoal,No,5.0,In an outdoor space,H23506-05-02
H2350701,No,,,,,,No,,,,,Charcoal,No,7.0,In an outdoor space,H23507-05-01
H2350801,No,,,,,,No,,,,,Open fire,No,5.0,In an outdoor space,H23508-05-01
H2350902,No,,,,,,No,,,,,Charcoal,No,5.0, In a room in the dwelling not just devoted to cooking,H23509-05-02
H2350903,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H23509-05-03
H2351001,No,,,,,,No,,,,,Open fire,No,7.0,In an outdoor space,H23510-05-01
H2351002,No,,,,,,No,,,,,Open fire,No,7.0,In a separate kitchen,H23510-05-02
H2351301,Yes,6.0,Bill from power company,18.0,25000.0,30.0,No,,,,,Charcoal,No,10.0,In a separate kitchen,H23513-05-01
H2360101,No,,,,,,No,,,,,Open fire,No,7.0,In a separate kitchen,H23601-05-01
H2360103,No,,,,,,No,,,,,Open fire,No,3.0,In a separate kitchen,H23601-05-03
H2360401,No,,,,,,No,,,,,Open fire,No,6.0,In an outdoor space,H23604-05-01
H2360501,No,,,,,,No,,,,,Open fire,No,6.0,In an outdoor space,H23605-05-01
H2360601,No,,,,,,No,,,,,Open fire,No,9.0,In a separate kitchen,H23606-05-01
H2360701,No,,,,,,No,,,,,Open fire,Yes,5.0,In a separate kitchen,H23607-05-01
H2360702,No,,,,,,No,,,,,Open fire,No,7.0,In a separate kitchen,H23607-05-02
H2360703,No,,,,,,No,,,,,Open fire,No,4.0,In an outdoor space,H23607-05-03
H2360704,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H23607-05-04
H2360705,No,,,,,,No,,,,,Open fire,Yes,5.0,In a separate kitchen,H23607-05-05
H2360801,No,,,,,,No,,,,,Open fire,No,8.0,In an outdoor space,H23608-05-01
H2361001,No,,,,,,No,,,,,Open fire,No,5.0,In an outdoor space,H23610-05-01
H2370101,No,,,,,,No,,,,,Open fire,No,6.0, In a room in the dwelling not just devoted to cooking,H23701-05-01
H2370102,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H23701-05-02
H2370201,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H23702-05-01
H2370301,No,,,,,,No,,,,,Open fire,No,5.0,In an outdoor space,H23703-05-01
H2370302,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H23703-05-02
H2370501,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H23705-05-01
H2370701,No,,,,,,No,,,,,Open fire,No,8.0,In a separate kitchen,H23707-05-01
H2370801,No,,,,,,No,,,,,Open fire,No,9.0,In a separate kitchen,H23708-05-01
H2370802,No,,,,,,No,,,,,Open fire,No,5.0,In an outdoor space,H23708-05-02
H2370803,Yes,24.0,Provide in rent,,,,No,,,,,Charcoal,No,6.0, In a room in the dwelling not just devoted to cooking,H23708-05-03
H2370901,No,,,,,,No,,,,,Open fire,No,7.0,In a separate kitchen,H23709-05-01
H2370902,No,,,,,,No,,,,,Open fire,No,7.0,In a separate kitchen,H23709-05-02
H2371001,No,,,,,,No,,,,,Open fire,No,5.0, In a room in the dwelling not just devoted to cooking,H23710-05-01
H2371002,No,,,,,,No,,,,,Open fire,No,6.0, In a room in the dwelling not just devoted to cooking,H23710-05-02
H2380101,No,,,,,,No,,,,,Charcoal,No,8.0,In a separate kitchen,H23801-05-01
H2380102,No,,,,,,No,,,,,Charcoal,No,7.0,In a separate kitchen,H23801-05-02
H2380201,No,,,,,,No,,,,,Charcoal,No,6.0,In a separate kitchen,H23802-05-01
H2380401,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H23804-05-01
H2380601,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H23806-05-01
H2380602,No,,,,,,No,,,,,Charcoal,No,6.0,In a separate kitchen,H23806-05-02
H2381001,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H23810-05-01
H2381101,No,,,,,,No,,,,,Open fire,No,6.0,In an outdoor space,H23811-05-01
H2381201,No,,,,,,No,,,,,Charcoal,No,5.0,In a separate kitchen,H23812-05-01
H2381301,No,,,,,,No,,,,,Open fire,Yes,5.0,In a separate kitchen,H23813-05-01
H2390101,No,,,,,,No,,,,,Open fire,No,7.0,In a separate kitchen,H23901-05-01
H2390201,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H23902-05-01
H2390301,No,,,,,,No,,,,,Open fire,No,4.0,In an outdoor space,H23903-05-01
H2390302,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H23903-05-02
H2390401,No,,,,,,No,,,,,Open fire,No,7.0,In a separate kitchen,H23904-05-01
H2390501,No,,,,,,No,,,,,Open fire,No,8.0,In a separate kitchen,H23905-05-01
H2390502,No,,,,,,No,,,,,,,,,H23905-05-02
H2390601,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H23906-05-01
H2390701,No,,,,,,No,,,,,,,,,H23907-05-01
H2390702,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H23907-05-02
H2390801,No,,,,,,No,,,,,Open fire,No,6.0,In an outdoor space,H23908-05-01
H2390901,No,,,,,,No,,,,,Open fire,No,8.0,In a separate kitchen,H23909-05-01
H2390902,No,,,,,,No,,,,,Open fire,No,7.0,In an outdoor space,H23909-05-02
H2390903,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H23909-05-03
H2420101,No,,,,,,No,,,,,Open fire,No,5.0, In a room in the dwelling not just devoted to cooking,H24201-05-01
H2420201,No,,,,,,No,,,,,Open fire,No,7.0, In a room in the dwelling not just devoted to cooking,H24202-05-01
H2420301,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H24203-05-01
H2420302,No,,,,,,No,,,,,Open fire,No,4.0,In an outdoor space,H24203-05-02
H2420401,No,,,,,,No,,,,,Open fire,No,7.0,In a separate kitchen,H24204-05-01
H2420501,No,,,,,,No,,,,,Open fire,No,6.0, In a room in the dwelling not just devoted to cooking,H24205-05-01
H2420502,No,,,,,,No,,,,,Open fire,No,6.0, In a room in the dwelling not just devoted to cooking,H24205-05-02
H2420601,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H24206-05-01
H2420701,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H24207-05-01
H2420801,No,,,,,,No,,,,,Open fire,No,7.0,In a separate kitchen,H24208-05-01
H2420901,No,,,,,,No,,,,,Open fire,No,7.0,In a separate kitchen,H24209-05-01
H2420902,No,,,,,,No,,,,,Open fire,No,7.0,In a separate kitchen,H24209-05-02
H2421001,No,,,,,,No,,,,,Open fire,No,6.0,In an outdoor space,H24210-05-01
H2421002,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H24210-05-02
H2440101,No,,,,,,No,,,,,Open fire,No,7.0,In a separate kitchen,H24401-05-01
H2440102,No,,,,,,No,,,,,Open fire,No,7.0,In a separate kitchen,H24401-05-02
H2440104,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H24401-05-04
H2440301,No,,,,,,No,,,,,Open fire,No,7.0,In a separate kitchen,H24403-05-01
H2440302,No,,,,,,No,,,,,Open fire,No,7.0,In a separate kitchen,H24403-05-02
H2440701,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H24407-05-01
H2440702,No,,,,,,No,,,,,Open fire,No,6.0,In an outdoor space,H24407-05-02
H2440801,No,,,,,,No,,,,,Open fire,No,5.0,In an outdoor space,H24408-05-01
H2440802,No,,,,,,No,,,,,Open fire,No,6.0,In an outdoor space,H24408-05-02
H2440803,No,,,,,,No,,,,,Open fire,No,7.0,In a separate kitchen,H24408-05-03
H2440901,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H24409-05-01
H2441001,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H24410-05-01
H2441101,No,,,,,,No,,,,,Open fire,No,7.0,In a separate kitchen,H24411-05-01
H2450202,No,,,,,,No,,,,,Open fire,No,4.0,In an outdoor space,H24502-05-02
H2450501,No,,,,,,No,,,,,Charcoal,No,4.0,In an outdoor space,H24505-05-01
H2450601,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H24506-05-01
H2450602,No,,,,,,No,,,,,Open fire,No,3.0,In a separate kitchen,H24506-05-02
H2450901,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H24509-05-01
H2451001,No,,,,,,No,,,,,Charcoal,No,7.0,In a separate kitchen,H24510-05-01
H2451003,No,,,,,,No,,,,,Charcoal,No,8.0,In an outdoor space,H24510-05-03
H2451101,No,,,,,,No,,,,,Open fire,No,3.0,In an outdoor space,H24511-05-01
H2451201,No,,,,,,No,,,,,Open fire,No,24.0, In a room in the dwelling not just devoted to cooking,H24512-05-01
H2460101,No,,,,,,No,,,,,Open fire,No,3.0,In an outdoor space,H24601-05-01
H2460301,No,,,,,,No,,,,,Open fire,No,3.0,In an outdoor space,H24603-05-01
H2460302,No,,,,,,No,,,,,Open fire,No,1.0,In a separate kitchen,H24603-05-02
H2460401,No,,,,,,No,,,,,Open fire,No,5.0,In an outdoor space,H24604-05-01
H2460501,No,,,,,,No,,,,,Open fire,No,6.0,In an outdoor space,H24605-05-01
H2460601,No,,,,,,No,,,,,Open fire,No,1.0,In an outdoor space,H24606-05-01
H2460701,No,,,,,,No,,,,,Open fire,No,4.0,In an outdoor space,H24607-05-01
H2460801,No,,,,,,No,,,,,Open fire,No,4.0,In an outdoor space,H24608-05-01
H2461001,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H24610-05-01
H2461002,No,,,,,,No,,,,,Open fire,No,2.0,In an outdoor space,H24610-05-02
H2480101,No,,,,,,No,,,,,,,,,H24801-05-01
H2480201,No,,,,,,No,,,,,Open fire,No,7.0,In an outdoor space,H24802-05-01
H2480202,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H24802-05-02
H2480301,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H24803-05-01
H2480302,No,,,,,,No,,,,,Open fire,No,5.0,In an outdoor space,H24803-05-02
H2480401,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H24804-05-01
H2480501,No,,,,,,No,,,,,Open fire,No,7.0,In a separate kitchen,H24805-05-01
H2480601,No,,,,,,No,,,,,Open fire,No,7.0,In a separate kitchen,H24806-05-01
H2480801,No,,,,,,No,,,,,Open fire,No,7.0,In a separate kitchen,H24808-05-01
H2480901,No,,,,,,No,,,,,Open fire,No,7.0,In a separate kitchen,H24809-05-01
H2481101,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H24811-05-01
H2500101,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H25001-05-01
H2500201,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H25002-05-01
H2500301,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H25003-05-01
H2500401,No,,,,,,No,,,,,Open fire,No,7.0,In an outdoor space,H25004-05-01
H2500501,No,,,,,,No,,,,,Open fire,No,7.0,In a separate kitchen,H25005-05-01
H2500601,No,,,,,,No,,,,,Open fire,No,5.0,In an outdoor space,H25006-05-01
H2500901,No,,,,,,No,,,,,Open fire,No,7.0,In an outdoor space,H25009-05-01
H2501101,No,,,,,,No,,,,,Open fire,No,5.0,In an outdoor space,H25011-05-01
H2520101,No,,,,,,No,,,,,Open fire,No,2.0,In a separate kitchen,H25201-05-01
H2520102,No,,,,,,No,,,,,Open fire,No,2.0,In a separate kitchen,H25201-05-02
H2520103,No,,,,,,No,,,,,Open fire,Yes,2.0,In a separate kitchen,H25201-05-03
H2520201,No,,,,,,No,,,,,Open fire,No,2.0,In a separate kitchen,H25202-05-01
H2520301,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H25203-05-01
H2520401,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H25204-05-01
H2520402,No,,,,,,No,,,,,Open fire,No,3.0,In a separate kitchen,H25204-05-02
H2520701,No,,,,,,No,,,,,Charcoal,No,4.0,In an outdoor space,H25207-05-01
H2520801,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H25208-05-01
H2520901,No,,,,,,No,,,,,Open fire,No,3.0,In an outdoor space,H25209-05-01
H2521002,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H25210-05-02
H2540101,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H25401-05-01
H2540201,No,,,,,,No,,,,,Open fire,No,3.0,In a separate kitchen,H25402-05-01
H2540202,No,,,,,,No,,,,,Open fire,No,2.0,In a separate kitchen,H25402-05-02
H2540301,No,,,,,,No,,,,,Open fire,No,2.0,In a separate kitchen,H25403-05-01
H2540302,No,,,,,,No,,,,,Open fire,No,2.0,In a separate kitchen,H25403-05-02
H2540303,No,,,,,,No,,,,,Open fire,No,3.0,In a separate kitchen,H25403-05-03
H2540401,No,,,,,,No,,,,,Open fire,No,1.0,In a separate kitchen,H25404-05-01
H2540601,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H25406-05-01
H2540701,No,,,,,,No,,,,,Open fire,No,2.0,In a separate kitchen,H25407-05-01
H2540801,Yes,1.0,Provide in rent,,,,No,,,,,Charcoal,No,2.0,In a separate kitchen,H25408-05-01
H2540901,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H25409-05-01
H2540902,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H25409-05-02
H2540903,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H25409-05-03
H2541001,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H25410-05-01
H2541002,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H25410-05-02
H2560101,No,,,,,,No,,,,,Open fire,No,2.0,In a separate kitchen,H25601-05-01
H2560201,No,,,,,,No,,,,,Open fire,No,1.0,In a separate kitchen,H25602-05-01
H2560701,No,,,,,,No,,,,,Open fire,No,1.0,In a separate kitchen,H25607-05-01
H2560801,No,,,,,,No,,,,,Charcoal,No,1.0, In a room in the dwelling not just devoted to cooking,H25608-05-01
H2560901,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H25609-05-01
H2560902,No,,,,,,No,,,,,Open fire,No,3.0,In a separate kitchen,H25609-05-02
H2560903,No,,,,,,No,,,,,Open fire,No,3.0,In a separate kitchen,H25609-05-03
H2560904,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H25609-05-04
H2560905,No,,,,,,No,,,,,Open fire,No,3.0,In a separate kitchen,H25609-05-05
H2560907,Yes,24.0,Pay fee to neighbor,,5000.0,30.0,No,,,,,Charcoal,No,1.0, In a room in the dwelling not just devoted to cooking,H25609-05-07
H2560908,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H25609-05-08
H2561001,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H25610-05-01
H2561002,No,,,,,,No,,,,,Open fire,No,3.0,In a separate kitchen,H25610-05-02
H2561003,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H25610-05-03
H2561004,No,,,,,,No,,,,,Open fire,Yes,6.0,In a separate kitchen,H25610-05-04
H2561005,No,,,,,,No,,,,,Open fire,No,6.0, In a room in the dwelling not just devoted to cooking,H25610-05-05
H2561006,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H25610-05-06
H2570101,Yes,24.0,Bill from power company,,10000.0,30.0,No,,,,,Kerosene,No,4.0, In a room in the dwelling not just devoted to cooking,H25701-05-01
H2570201,Yes,24.0,Pay fee to neighbor,,10000.0,30.0,No,,,,,Charcoal,No,3.0,In an outdoor space,H25702-05-01
H2570202,No,,,,,,No,,,,,Open fire,No,7.0,In a separate kitchen,H25702-05-02
H2570301,No,,,,,,No,,,,,Charcoal,No,6.0, In a room in the dwelling not just devoted to cooking,H25703-05-01
H2570302,No,,,,,,No,,,,,Charcoal,No,3.0,In a separate kitchen,H25703-05-02
H2570401,No,,,,,,No,,,,,Open fire,No,3.0,In a separate kitchen,H25704-05-01
H2570501,No,,,,,,No,,,,,Open fire,No,2.0,In a separate kitchen,H25705-05-01
H2570502,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H25705-05-02
H2570601,Yes,24.0,Bill from power company,53.0,30000.0,30.0,No,,,,,Open fire,No,5.0,In a separate kitchen,H25706-05-01
H2570602,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H25706-05-02
H2570603,Yes,24.0,Free use/illegal connections,,,,No,,,,,lpg,,6.0, In a room in the dwelling not just devoted to cooking,H25706-05-03
H2570604,Yes,24.0,Free use/illegal connections,,,,No,,,,,lpg,,1.0, In a room in the dwelling not just devoted to cooking,H25706-05-04
H2570605,Yes,24.0,Provide in rent,,,,No,,,,,Electric,,1.0, In a room in the dwelling not just devoted to cooking,H25706-05-05
H2570701,No,,,,,,No,,,,,Open fire,No,2.0,In a separate kitchen,H25707-05-01
H2570801,No,,,,,,No,,,,,Open fire,No,8.0,In a separate kitchen,H25708-05-01
